[0.47] ( 0.47; ) cognitive_system machine_learn high_school natural_language intelligent_system
[0.23] ( 0.23; ) invalid_action high_probability human_driver sigmoid_function input_size
[0.49] ( 0.49; ) output_layer simple_case activation_function input_layer output_value
[0.00] ( 0.00; ) random_value activation_function multiple_time learn_algorithm high_probability
[0.26] ( 0.26; ) data_set convolutional_neural_network genetic_algorithm continuous_action_space policy_gradient
[0.00] ( 0.00; ) video_game classical_algorithm board_state possible_outcome efficient_algorithm
[-0.07] ( -0.07; ) state_space value_function important_part incomplete_information neural_network
[0.27] ( 0.27; ) let's_say cerebral_cortex batch_size target_value input_node
[0.08] ( 0.08; ) machine_learn artificial_intelligence computer_vision statistical_method current_situation
[0.25] ( 0.25; ) philosophical_question research_paper gradient_descent local_minimum human_intelligence
[0.63] ( 0.63; ) extract_feature deep_convolutional_neural_network base_approach deep_learn label_data
[0.21] ( 0.21; ) human_intelligence general_intelligence knowledge_base utility_function computer_scientist
[0.22] ( 0.22; ) neural_network cost_function neural_network_architecture decision_tree neural_net
[0.05] ( 0.05; ) board_game recommendation_system neural_network rational_agent machine_learn_algorithm
[-0.02] ( -0.02; ) objective_function biological_brain computer_science neural_network machine_learn
[0.13] ( 0.13; ) online_course open_source hyper_parameters speech_recognition different_way
[0.15] ( 0.15; ) artificial_intelligence computer_science self_awareness cognitive_architecture play_chess
[0.00] ( 0.00; ) determine_whether bound_box feature_vector input_space computer_vision
[0.08] ( 0.08; ) test_set batch_size input_data license_plate adversarial_network
[0.21] ( 0.21; ) story_base big_data data_analysis golden_rule waste_time
[0.10] ( 0.10; ) cost_function game_theory open_source_library gradient_descent news_article
[0.16] ( 0.16; ) natural_language sensory_input get_start computational_linguistics goal_state
[1.00] ( 1.00; ) hide_layer input_layer output_layer softmax_layer lstm_network
[0.21] ( 0.21; ) doc_2vec high_dimensional validation_set neural_network test_set
[0.08] ( 0.08; ) neural_network statistical_model train_data cross_validation easy_way
[0.12] ( 0.12; ) actor_critic neural_network model_free make_sense tensor_flow
[0.00] ( 0.00; ) compute_power autonomous_vehicle incoming_signal quality_control energy_consumption
[0.00] ( 0.00; ) success_rate conv_layer chess_program root_node high_value
[0.64] ( 0.64; ) data_entry real_world_problem learn_algorithm simple_form machine_learn_algorithm
[0.25] ( 0.25; ) pbrs_term basic_idea higher_level artificial_intelligence potential_function
[0.19] ( 0.19; ) yann_lecun human_language generative_model real_world_problem brain_work
[0.20] ( 0.20; ) next_state large_degree error_rate game_theory feedback_loop
[0.19] ( 0.19; ) convolutional_layer activation_function conv_layer pixel_value sigmoid_function
[0.36] ( 0.36; ) alpha_beta neural_network mini_batch_gradient_descent non_linear_activation quiescence_search
[0.19] ( 0.19; ) self_aware autonomous_vehicle determine_whether human_experience intelligent_system
[-0.01] ( -0.01; ) domain_knowledge general_intelligence digital_system computer_science specific_case
[0.51] ( 0.51; ) neural_net activation_function lstm_layer output_layer leaky_relu
[0.44] ( 0.44; ) convolutional_layer bound_box dependent_variable atari_game input_variable
[0.53] ( 0.53; ) time_series historical_data mit_press deep_reinforcement deep_reinforcement_learn
[0.08] ( 0.08; ) domain_knowledge neural_network train_data nervous_system autonomous_vehicle
[0.00] ( 0.00; ) graph_theory pattern_match next_move negative_feedback combinatorial_game_theory
[0.27] ( 0.27; ) next_move tic_tac_toe pattern_recognition run_time chess_game
[0.17] ( 0.17; ) stack_exchange artificial_general_intelligence high_level von_neumann's alpha_beta
[0.65] ( 0.65; ) human_player lee_sedol deep_blue process_power game_tree
[0.10] ( 0.10; ) machine_learn artificial_intelligence exhibit_intelligence high_level software_architecture
[0.18] ( 0.18; ) brute_force natural_language fourier_transform object_detection exhaustive_search
[0.21] ( 0.21; ) prisoner's_dilemma goal_state initial_state epsilon_greedy reward_signal
[0.66] ( 0.66; ) attenuation_matrix output_layer output_node input_vector input_node
[0.22] ( 0.22; ) artificial_intelligence automate_vehicle science_fiction artificial_general_intelligence control_system
[0.00] ( 0.00; ) google's_self human_driver trolley_problem computer_vision_system science_fiction
[0.10] ( 0.10; ) real_time linear_algebra random_forest neural_network computer_vision
[0.00] ( 0.00; ) reinforcement_learn many_case batch_size software_architecture recurrent_neural_network
[0.27] ( 0.27; ) activation_function non_differentiable run_time signal_path attenuation_matrix
[0.39] ( 0.39; ) span_class train_example value_estimate estimate_value execute_action
[0.40] ( 0.40; ) computer_vision artificial_intelligence self_play pattern_recognition solve_problem
[0.12] ( 0.12; ) real_world goal_state science_fiction loan_insurance self_awareness
[0.00] ( 0.00; ) pseudo_random pixel_density specific_set input_layer batch_size
[0.02] ( 0.02; ) self_improvement data_science feature_extraction artificial_intelligence active_research
[0.22] ( 0.22; ) artificial_network convergence_strategy genetic_algorithm possible_solution recurrent_neural_network
[0.07] ( 0.07; ) activation_function input_layer multi_class vector_matrix_multiplication gradient_descent
[0.00] ( 0.00; ) artificial_intelligence_research continuous_action valid_move simple_bot policy_function
[0.11] ( 0.11; ) artificial_system general_intelligence homo_sapiens cognitive_science english_language
[0.83] ( 0.83; ) sigmoid_function input_vector activation_function identity_function output_layer
[0.40] ( 0.40; ) mario_kart compute_power game_play state_space fuzzy_logic_container
[0.21] ( 0.21; ) artificial_intelligence machine_learn human_intelligence attention_base nervous_system
[0.33] ( 0.33; ) hyper_parameters data_set train_data neural_network label_data
[0.13] ( 0.13; ) fuzzy_logic human_intelligence non_zero something_similar real_time
[0.00] ( 0.00; ) output_value pool_layer let's_say csv_file yoshua_bengio
[0.01] ( 0.01; ) genetic_algorithm hyper_parameters loss_function data_collection control_system
[0.34] ( 0.34; ) artificial_intelligence computer_system natural_language computer_scientist program_language
[0.00] ( 0.00; ) math_container human_driver avoid_obstacle main_advantage self_play
[0.22] ( 0.22; ) span_class state_action_pair high_value take_action next_state
[0.49] ( 0.49; ) activation_function span_class sigmoid_activation output_node non_linear_activation_function
[0.16] ( 0.16; ) artificial_system artificial_intelligence artificial_general_intelligence high_intelligence logical_inference
[0.76] ( 0.76; ) low_value high_value reinforcement_learn_algorithm move_towards false_negative
[0.48] ( 0.48; ) span_class loss_function output_vector search_tree target_value
[0.57] ( 0.57; ) input_channel output_channel input_neuron output_neuron dependent_upon
[0.58] ( 0.58; ) receptive_field neural_network pixel_value feature_map input_image
[0.00] ( 0.00; ) math_container research_paper pre_process call_center data_analysis
[0.00] ( 0.00; ) human_driver hill_climb question_author short_path error_correction
[0.44] ( 0.44; ) computer_vision artificial_intelligence control_system genetic_algorithm natural_language
[0.21] ( 0.21; ) span_class cost_function state_space test_data goal_node
[0.21] ( 0.21; ) natural_language self_awareness human_life business_intelligence imitation_game
[0.00] ( 0.00; ) legal_move correct_answer state_space real_number game_tree
[0.15] ( 0.15; ) temporal_difference image_recognition capsule_network make_prediction reinforcement_learn
[0.00] ( 0.00; ) loss_function external_environment inference_engine human_intelligence policy_function
[0.00] ( 0.00; ) computational_power speech_recognition activation_function exponential_growth random_forest
[-0.00] ( -0.00; ) target_object data_structure data_set take_place gradient_descent
[0.11] ( 0.11; ) artificial_intelligence expert_system define_intelligence life_form surpass_human
[0.02] ( 0.02; ) artificial_intelligence value_alignment paper_clip adaptive_system long_way
[0.00] ( 0.00; ) natural_number minimum_value pseudo_random initial_weight use_python
[0.36] ( 0.36; ) internal_state neural_network board_state regression_problem non_linear
[0.00] ( 0.00; ) policy_gradient_method immediate_reward possible_action current_state board_state
==========================================================================
Average Topic Coherence = 0.222
Median Topic Coherence = 0.165
